what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1367223880552
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1367223880553
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1367223880553
started,bundle,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.adt",1367223880553
started,bundle,com.android.ide.eclipse.base,21.1.0.v201302060044-569685,"com.android.ide.eclipse.base",1367223880554
started,bundle,org.eclipse.m2e.logback.configuration,1.3.1.20130219-1424,"org.eclipse.m2e.logback.configuration",1367223880554
os,sysinfo,,,"win32",1367223880557
arch,sysinfo,,,"x86",1367223880557
ws,sysinfo,,,"win32",1367223880557
locale,sysinfo,,,"de_DE",1367223880557
processors,sysinfo,,,"4",1367223880557
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1367223880557
java.runtime.version,sysinfo,,,"1.7.0_10-b18",1367223880557
java.specification.name,sysinfo,,,"Java Platform API Specification",1367223880557
java.specification.vendor,sysinfo,,,"Oracle Corporation",1367223880557
java.specification.version,sysinfo,,,"1.7",1367223880557
java.vendor,sysinfo,,,"Oracle Corporation",1367223880557
java.version,sysinfo,,,"1.7.0_10",1367223880557
java.vm.info,sysinfo,,,"mixed mode, sharing",1367223880557
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1367223880557
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367223880557
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1367223880557
java.vm.specification.version,sysinfo,,,"1.7",1367223880557
java.vm.vendor,sysinfo,,,"Oracle Corporation",1367223880557
java.vm.version,sysinfo,,,"23.6-b04",1367223880557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367223887144
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1367223892552
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1367223892601
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1367223892616
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1367223899595
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1367223899604
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1367223899608
error,log,,,"",1367223936996
error,log,,,"Invalid project description.",1367223944400
